
1000 0.000173795
51000 0.0174472
101000 0.027662
151000 0.0408132
201000 0.0713372
251000 0.0744019
301000 0.0809012
351000 0.104608
401000 0.113197
451000 0.124714
501000 0.14119
551000 0.159778
601000 0.172893
651000 0.188663
701000 0.202545
751000 0.214537
801000 0.23095
851000 0.244368
901000 0.266312
951000 0.278236
1001000 0.291886
1051000 0.303908
1101000 0.329183
1151000 0.341085
1201000 0.356648
1251000 0.370917
1301000 0.403914
1351000 0.39981
1401000 0.415538
1451000 0.435309
1501000 0.443921
1551000 0.470645
1601000 0.47782
1651000 0.501495
1701000 0.507838
1751000 0.521568
1801000 0.554551
1851000 0.556095
1901000 0.568848
1951000 0.590239
2001000 0.61304
2051000 0.623589
2101000 0.632496
2151000 0.656839
2201000 0.67095
2251000 0.690506
2301000 0.699026
2351000 0.717287
2401000 0.738838
2451000 0.749305
2501000 0.760631
2551000 0.783099
2601000 0.782155
2651000 0.805454
2701000 0.815424
2751000 0.838793
2801000 0.856934
2851000 0.868376
2901000 0.896353
2951000 0.91578
3001000 0.930987
3051000 0.938251
3101000 0.955232
3151000 0.972044
3201000 0.989056
3251000 1.01351
3301000 1.03588
3351000 1.0377
3401000 1.05031
3451000 1.07306
3501000 1.07912
3551000 1.10182
3601000 1.12517
3651000 1.13696
3701000 1.15342
3751000 1.16749
3801000 1.18054
3851000 1.20817
3901000 1.21393
3951000 1.2285
