type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_1684481268504254	1684481268504254_1985853498367028	https://www.facebook.com/1684481268504254/posts/1985853498367028	"Santos vs puebla"					2017-10-02T01:11:16+0000	1506906676	"2017-10-02 03:11:16"	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985359941749717	https://www.facebook.com/1684481268504254/posts/1985359941749717	"Victor Alejandro Acosta Öf̲̲̅̅ı̲̲̅̅c̲̲̅̅ı̲̲̅̅a̲̲̅̅l̲̲̅̅ ̲̲̅̅F̲̲̅̅b shared Zona Deportiva s video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22196881_271009696752021_6571716037836800000_n.jpg?oh=2be0c735a059be07afd5aaa39c6a307c&oe=5A482E63	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22196881_271009696752021_6571716037836800000_n.jpg?oh=9b47a22ee2ccebdc577675324694c833&oe=5A516FD9	https://www.facebook.com/zonadeportivaXX/videos/271007903418867/	facebook.com	2017-09-30T20:55:07+0000	1506804907	"2017-09-30 22:55:07"	3	1	3	1	5	1	1	0	0	0	3	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985821375036907	https://www.facebook.com/1684481268504254/posts/1985821375036907	"Carloz Baltazar shared Mc Carloz s live video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22236011_2096912307001730_6909564582021300224_n.jpg?oh=5458fa93b4a7e50c8072d72d33338b50&oe=5A3F59C9	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22236011_2096912307001730_6909564582021300224_n.jpg?oh=55d0807d826efcb21d579e4d7e034c65&oe=5A458BEB	https://www.facebook.com/2083487308344230/videos/2096824893677138/	facebook.com	2017-10-01T23:11:19+0000	1506899479	"2017-10-02 01:11:19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1985801808372197	https://www.facebook.com/1684481268504254/posts/1985801808372197	"BebeKlaza Jesus Flores shared Bebekalza s album: PAÑALEROS Y TENIS PARA BEBES DE BEISBOL to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21192448_1166253803475446_2480936747957762370_n.jpg?oh=9b3c067c50fab290c619276ce74f209d&oe=5A4A1F1E	https://scontent.xx.fbcdn.net/v/t1.0-9/21192448_1166253803475446_2480936747957762370_n.jpg?oh=47cdbc5ee3ce2798ed50a445e746845f&oe=5A4ADC75	https://www.facebook.com/281763141924521/photos/a.1152284718205688.1073741849.281763141924521/1166253803475446/?type=3	facebook.com	2017-10-01T21:51:31+0000	1506894691	"2017-10-01 23:51:31"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1985801738372204	https://www.facebook.com/1684481268504254/posts/1985801738372204	"BebeKlaza Jesus Flores shared Bebekalza s album: PAÑALEROS Y TENIS PARA BEBES DE LA NFL to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16473900_990830461017782_5445049734189420642_n.jpg?oh=f80bc6ebc22a01169de662c22b8988f1&oe=5A50F668	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/16487560_990830461017782_5445049734189420642_o.jpg?oh=75893dfe8e479583f0bf46947b451cd3&oe=5A41602A	https://www.facebook.com/281763141924521/photos/a.792165920884238.1073741840.281763141924521/990830461017782/?type=3	facebook.com	2017-10-01T21:51:09+0000	1506894669	"2017-10-01 23:51:09"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1985801695038875	https://www.facebook.com/1684481268504254/posts/1985801695038875	"BebeKlaza Jesus Flores shared Bebekalza s album:  Futbol AmeriKalza  to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14502835_879649128802583_654968491490018932_n.jpg?oh=3ff0971a76f290234f11761a6f1f44c0&oe=5A498D68	https://scontent.xx.fbcdn.net/v/t1.0-9/14502835_879649128802583_654968491490018932_n.jpg?oh=7dfdd89ea5c5720211b5c6da2461765e&oe=5A4E9FDB	https://www.facebook.com/281763141924521/photos/a.443016385799195.1073741830.281763141924521/879649128802583/?type=3	facebook.com	2017-10-01T21:50:56+0000	1506894656	"2017-10-01 23:50:56"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1985801658372212	https://www.facebook.com/1684481268504254/posts/1985801658372212	"BebeKlaza Jesus Flores shared Bebekalza s album: PANTUKALZA DE FOOTBALL AMERICANO to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14446080_882325555201607_8399556945169742170_n.jpg?oh=44326da88b7808d2f6a3c4344f9f7f3f&oe=5A453F19	https://scontent.xx.fbcdn.net/v/t1.0-9/14446080_882325555201607_8399556945169742170_n.jpg?oh=d0258666baf2fc061c063f679f59bfaa&oe=5A488E84	https://www.facebook.com/281763141924521/photos/a.742670315833799.1073741839.281763141924521/882325555201607/?type=3	facebook.com	2017-10-01T21:50:45+0000	1506894645	"2017-10-01 23:50:45"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1985801618372216	https://www.facebook.com/1684481268504254/posts/1985801618372216	"BebeKlaza Jesus Flores shared Bebekalza s album: ¡¡¡PLAYEKALZA PARA BEBES Y NIÑOS CON EL ESCUDO DE TU EQUIPO!!! to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/22089602_1187108608056632_4009719520698716514_n.jpg?oh=d1a6464d9036b1a8811087d83e7e2ab8&oe=5A4F7E92	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22104527_1187108608056632_4009719520698716514_o.jpg?oh=36b1d286a4d65db0743edf4f45e09aff&oe=5A87EA8E	https://www.facebook.com/281763141924521/photos/a.1187108538056639.1073741851.281763141924521/1187108608056632/?type=3	facebook.com	2017-10-01T21:50:32+0000	1506894632	"2017-10-01 23:50:32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_1684481268504254	1684481268504254_1985755105043534	https://www.facebook.com/1684481268504254/posts/1985755105043534	"http://shortlinkmoney.us/u1Yi   NBA MLB Futbol NFL. 1080p"					2017-10-01T19:03:15+0000	1506884595	"2017-10-01 21:03:15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1985681775050867	https://www.facebook.com/1684481268504254/posts/1985681775050867	"Victor Alejandro Acosta Öf̲̲̅̅ı̲̲̅̅c̲̲̅̅ı̲̲̅̅a̲̲̅̅l̲̲̅̅ ̲̲̅̅F̲̲̅̅b shared Zona Deportiva s video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19023942_271364413383216_5440193151220318208_n.jpg?oh=ead38f4d6d9275641b09743bd7ca826f&oe=5A4D61EA	https://scontent.xx.fbcdn.net/v/t15.0-10/19023942_271364413383216_5440193151220318208_n.jpg?oh=e910f6e25ce468ec632954a678718aa6&oe=5A509D07	https://www.facebook.com/zonadeportivaXX/videos/271363453383312/	facebook.com	2017-10-01T15:00:15+0000	1506870015	"2017-10-01 17:00:15"	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0
