ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10234636,HY422732,09/10/2015 09:00:00 PM,003XX E NORTH WATER ST,917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,true,true,1834,18,42,8,7,1179015,1903137,2015,09/17/2015 11:37:18 AM,41.889504047,-87.618030441,"(41.889504047, -87.618030441)"
10231303,HY418877,09/10/2015 08:00:00 PM,032XX N NEWCASTLE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,true,1632,16,36,17,5,1130187,1920833,2015,09/17/2015 11:37:18 AM,41.939041103,-87.796943108,"(41.939041103, -87.796943108)"
10238340,HY425931,09/10/2015 08:00:00 PM,017XX W DIVISION ST,820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,true,false,1213,12,1,24,6,,,2015,09/17/2015 11:37:18 AM,,,
